1000000
0  0.692537  0.694291  0.694356  0.692409  0.694074  0.695748  0.3264  0.51258  0.490517  0.3228  0.515935  0.485934  -4.13862  -0.56158  0.348058  -3.63128  -0.558056  0.347377
1000  0.433107  0.636465  0.62227  0.462238  0.648017  0.635754  0.8324  0.631552  0.658502  0.8356  0.6034  0.632509  0.186906  0.0232326  0.140796  0.399708  0.144256  0.211019
2000  0.42152  0.611939  0.602974  0.43567  0.624913  0.618679  0.8332  0.67057  0.676679  0.8428  0.647965  0.659839  0.306094  -0.277097  -0.0814487  0.498969  -0.149155  0.00293882
3000  0.425997  0.600904  0.598627  0.44333  0.615155  0.609453  0.8634  0.67679  0.68408  0.8606  0.660496  0.662396  0.698387  -0.36399  -0.0323073  0.784022  -0.279867  0.0500826
4000  0.391148  0.584359  0.590464  0.425141  0.606086  0.60196  0.8552  0.686871  0.678206  0.8606  0.669019  0.664368  0.516306  -0.308382  0.139467  0.698547  -0.282414  0.225629
5000  0.396197  0.590449  0.588442  0.425533  0.603044  0.601789  0.8686  0.687554  0.686824  0.8678  0.679247  0.661487  0.821157  -0.527796  0.185062  0.904979  -0.439746  0.359399
6000  0.394344  0.587979  0.586097  0.391194  0.595865  0.595693  0.8544  0.693864  0.688395  0.8716  0.693708  0.6774  0.465086  -0.802671  0.0370757  0.649147  -0.647465  0.159865
7000  0.417691  0.569761  0.587538  0.417729  0.581033  0.599077  0.861  0.713784  0.669767  0.8742  0.692675  0.653846  0.676824  -0.246165  0.638569  0.810374  -0.165819  0.694916
8000  0.393902  0.565215  0.562694  0.402897  0.574612  0.577682  0.8514  0.715274  0.707285  0.8642  0.705688  0.684123  0.490166  -0.633846  -0.0290721  0.623658  -0.554879  0.0807037
9000  0.381142  0.563401  0.571656  0.398789  0.570616  0.576582  0.8612  0.712004  0.696013  0.8582  0.718479  0.688704  0.648098  -0.718937  0.0873031  0.681086  -0.73149  0.207469
10000  0.433602  0.569052  0.568111  0.43663  0.575273  0.578129  0.8532  0.707207  0.706669  0.8672  0.710831  0.688791  0.813935  -0.843754  0.120824  0.899772  -0.799073  0.252598
11000  0.391423  0.545419  0.560771  0.415118  0.54834  0.565623  0.8558  0.729843  0.710228  0.8524  0.737733  0.699992  0.517426  -0.452626  0.0117764  0.644232  -0.449267  0.0303447
12000  0.382294  0.536208  0.562671  0.40696  0.557187  0.573197  0.8544  0.734384  0.701723  0.8588  0.721285  0.68728  0.436753  -0.289842  0.0777783  0.770988  -0.249189  0.193863
13000  0.382267  0.536802  0.55583  0.412127  0.550967  0.566024  0.8686  0.742745  0.71156  0.8588  0.720298  0.695535  0.727521  -0.512711  -0.0119958  0.793091  -0.399289  0.0900873
14000  0.387853  0.537821  0.553502  0.399626  0.552575  0.570146  0.8616  0.728251  0.706354  0.8764  0.722736  0.690667  0.668342  -0.71385  0.132362  0.852265  -0.651953  0.263492
15000  0.385652  0.529409  0.561784  0.394958  0.536596  0.56146  0.8576  0.744424  0.704988  0.8598  0.73862  0.699953  0.559425  -0.414314  0.0273646  0.665481  -0.380544  0.13062
16000  0.376188  0.526553  0.559832  0.405874  0.543258  0.556662  0.8572  0.737529  0.70538  0.8558  0.72393  0.700732  0.427206  -0.0579724  0.126159  0.601894  0.0103828  0.17479
17000  0.370782  0.522634  0.554017  0.406949  0.530025  0.558069  0.8588  0.751593  0.704939  0.8594  0.745601  0.699166  0.357536  -0.586034  0.226807  0.609071  -0.559223  0.360448
18000  0.374072  0.518046  0.551677  0.398136  0.533881  0.560671  0.8572  0.753127  0.708714  0.8544  0.734482  0.702146  0.585642  -0.329171  -0.0228376  0.736834  -0.214807  0.0404538
19000  0.370391  0.516122  0.561921  0.390772  0.519809  0.569534  0.8622  0.754691  0.701656  0.8626  0.754963  0.691631  0.603101  -0.542377  0.370493  0.729017  -0.471543  0.445871
20000  0.360443  0.499431  0.543757  0.386893  0.512313  0.552779  0.8704  0.763128  0.720025  0.8646  0.748163  0.704283  0.614037  -0.0414831  0.171359  0.771715  -0.0321385  0.245946
21000  0.387181  0.495015  0.545661  0.383398  0.508527  0.550732  0.8438  0.764986  0.710208  0.8582  0.759038  0.712019  0.408428  -0.143798  0.248504  0.515263  -0.164542  0.309036
22000  0.377343  0.502487  0.546083  0.40625  0.512212  0.550755  0.8682  0.758836  0.720804  0.8708  0.757279  0.708294  0.637695  -0.510386  -0.0883254  0.81855  -0.515432  0.00144668
23000  0.379187  0.494758  0.547644  0.378087  0.498627  0.541607  0.8528  0.766691  0.714025  0.8698  0.76628  0.710232  0.563034  -0.320483  0.0530595  0.704894  -0.281242  0.139873
24000  0.365199  0.484625  0.548  0.378993  0.492234  0.544115  0.8652  0.776346  0.710609  0.8676  0.766272  0.713903  0.581944  -0.23565  0.176027  0.659293  -0.188103  0.261705
